prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
The Hipster @ Taman Desa,2022,4200,Condominium,5,2,6,1842,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Taman Desa
Segar Courts,,2300,Condominium,3,1,2,1170,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Cheras
Pangsapuri Teratak Muhibbah 2,,1000,Apartment,3,,2,650,Fully Furnished,"Minimart, Jogging Track, Lift, Swimming Pool",,Kuala Lumpur , Taman Desa
Sentul Point Suite Apartment,2020,1700,Apartment,2,1,2,743,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sentul
Arte Mont Kiara,,1299,Service Residence,1,1,1,494,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,Kuala Lumpur , Mont Kiara
Residensi Vista Wirajaya,,1500,Apartment,3,1,2,884,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Setapak
Sky Meridien,,2900,Service Residence,3,2,2,982,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sentul
Arte Plus Jalan Ampang,2018,1550,Service Residence,1,1,1,700,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Ampang
Nova I,2014,1400,Apartment,2,1,1,750,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Segambut
Sofiya Residences,,1350,Condominium,3,1,2,862,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Desa ParkCity
